"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CMGE","China Mobile Games and Entertainment Group Limited","15.3","26695700.1","1744817","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cmge",
"CSUN","China Sunergy Co., Ltd.","6.15","65976941.7","10727958","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/csun",
"CCIH","ChinaCache International Holdings Ltd.","9.73","139428866.43","14329791","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","0.9078","20177253.012","n/a","1996","Technology","Advertising","http://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES (Bermuda) LTD.","17.51","589294619.97","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/imos",
"CIMT","Cimatron, Limited","7.04","73194154.88","n/a","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/cimt",
"CRUS","Cirrus Logic, Inc.","24.7","1567332201.5","n/a","1989","Technology","Semiconductors","http://www.nasdaq.com/symbol/crus",
"CSCO","Cisco Systems, Inc.","22.961","123632676365.613","n/a","1990","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/csco",
"CTXS","Citrix Systems, Inc.","57.26","10729499446.82","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ctxs",
"CLNT","Cleantech Solutions International, Inc.","6.27","21966957.54","n/a","1994","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clnt",
"CLRO","ClearOne, Inc.","8.43","76544905.8","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/clro",
"CKSW","ClickSoftware Technologies Ltd.","6.5","206545677","n/a","2000","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cksw",
"COBR","Cobra Electronics Corporation","2.8208","18647124.064","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/cobr",
"CCOI","Cogent Communications Group, Inc.","35.1","1660002446.7","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ccoi",
"CTSH","Cognizant Technology Solutions Corporation","85.77","25848392112.45","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/ctsh",
"CLRX","CollabRx, Inc.","4.43","8651612.8","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clrx",
"CVLT","CommVault Systems, Inc.","87.33","4081110537.81","n/a","2006","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cvlt",
"CPSI","Computer Programs and Systems, Inc.","60.49","670232950.38","n/a","2002","Technology","EDP Services","http://www.nasdaq.com/symbol/cpsi",
"CTG","Computer Task Group, Incorporated","18.01","339051775.51","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ctg",
"CPWR","Compuware Corporation","10.86","2331084219.54","n/a","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cpwr",
"CMTL","Comtech Telecommunications Corp.","28.95","476476209.45","n/a","1972","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/cmtl",
"CNQR","Concur Technologies, Inc.","110.04","6165335315.16","n/a","1998","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnqr",
"CCUR","Concurrent Computer Corporation","7.28","67216553.04","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/ccur",
"CTCT","Constant Contact, Inc.","23.6","724063717.6","n/a","2007","Technology","Advertising","http://www.nasdaq.com/symbol/ctct",
"CSOD","Cornerstone OnDemand, Inc.","51.98","2672312592","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/csod",
"CRRS","Corporate Resource Services, Inc.","3.69","578027400.48","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/crrs",
"COVS","Covisint Corporation","13.46","489984380","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/covs",
"CRAY","Cray Inc","23.54","939332956.76","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/cray",
"CREE","Cree, Inc.","73.862","8871875779.02","n/a","1993","Technology","Semiconductors","http://www.nasdaq.com/symbol/cree",
"CCRN","Cross Country Healthcare, Inc.","6.02","187131531.44","n/a","2001","Technology","Professional Services","http://www.nasdaq.com/symbol/ccrn",
"CRDS","Crossroads Systems, Inc.","0.94","11226331.64","n/a","1992","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/crds",
"CSGS","CSG Systems International, Inc.","26.54","897067658.6","n/a","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/csgs",
"CSPI","CSP Inc.","6.89","24078420.99","n/a","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/cspi",
"CSRE","CSR plc","33.39","22975425.27","688093","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/csre",
"CVV","CVD Equipment Corporation","10.26","62301233.7","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvv",
"CY","Cypress Semiconductor Corporation","9.54","1423984589.28","n/a","1986","Technology","Semiconductors","http://www.nasdaq.com/symbol/cy",
"DAEG","Daegis Inc","0.87","14254466.28","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/daeg",
"DTLK","Datalink Corporation","13.92","315873795.36","n/a","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/dtlk",
"DRAM","Dataram Corporation","2.3899","4193466.7138","n/a","1984","Technology","Electronic Components","http://www.nasdaq.com/symbol/dram",
"DWCH","Datawatch Corporation","28.74","188290196.22","n/a","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dwch",
"TRAK","Dealertrack Technologies, Inc.","41.5","1815594912.5","n/a","2005","Technology","EDP Services","http://www.nasdaq.com/symbol/trak",
"DELL","Dell Inc.","13.83","24329200792.83","n/a","1988","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/dell",
"DGII","Digi International Inc.","9.99","256871741.13","n/a","1989","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/dgii",
"DMRC","Digimarc Corporation","20.73","150572023.32","n/a","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/dmrc",
"DGLY","Digital Ally, Inc.","13.5","28830114","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dgly",
"DRIV","Digital River, Inc.","18.57","636048795.12","n/a","1998","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/driv",
"DIOD","Diodes Incorporated","25.31","1179442431.29","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/diod",
"DLHC","DLH Holdings Corp.","1.37","12765936.74","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/dlhc",
"HILL","Dot Hill Systems Corporation","2.95","173945177.65","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/hill",
"DSPG","DSP Group, Inc.","7.4","166920934.2","n/a","1994","Technology","Semiconductors","http://www.nasdaq.com/symbol/dspg",
"DRCO","Dynamics Research Corporation","7.46","78357631.84","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/drco",
"EOPN","E2open, Inc.","22.28","590583089.6","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/eopn",
"ELNK","EarthLink, Inc.","5.26","541776754.58","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/elnk",
"EBIX","Ebix, Inc.","11.39","432435268.58","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ebix",
"ELON","Echelon Corporation","2.22","96001673.34","n/a","1998","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/elon",
"SATS","EchoStar Corporation","47.97","4298764152.15","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sats",
"EDGW","Edgewater Technology, Inc.","5.84","63246732.8","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/edgw",
"EFUT","eFuture Information Technology Inc.","4.87","19369066.27","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/efut",
"EGAN","eGain Corporation","13.75","348028381.25","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/egan",
"ELRC","Electro Rent Corporation","19.22","461220917.72","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/elrc",
"EA","Electronic Arts Inc.","25.03","7674644885.62","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ea",
"EFII","Electronics for Imaging, Inc.","34.56","1604148364.8","n/a","1992","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/efii",
"ELTK","Eltek Ltd.","1.28","8460936.96","n/a","1997","Technology","Electrical Products","http://www.nasdaq.com/symbol/eltk",
"EMKR","EMCORE Corporation","5.45","163517412.75","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/emkr",
"ERII","Energy Recovery, Inc.","6.69","341407866.54","n/a","2008","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/erii",
"ENOC","EnerNOC, Inc.","16","483716368","n/a","2007","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/enoc",
"ENPH","Enphase Energy, Inc.","8.84","369164711.76","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/enph",
"ENTR","Entropic Communications, Inc.","4.43","403239739.96","n/a","1994","Technology","Semiconductors","http://www.nasdaq.com/symbol/entr",
"ENVI","Envivio, Inc.","3.1","85595234.6","n/a","1987","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/envi",
"EPIQ","EPIQ Systems, Inc.","14.03","509982418.72","n/a","1997","Technology","EDP Services","http://www.nasdaq.com/symbol/epiq",
"PLUS","ePlus inc.","54.51","446977911.75","n/a","1996","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/plus",
"ERIC","Ericsson","13.19","2589630397.02","196332858","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric",
"EVOL","Evolving Systems, Inc.","10.72","122633165.92","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/evol",
"EXA","Exa Corporation","14.91","198874395.93","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/exa",
"EXTR","Extreme Networks, Inc.","5.83","550738336.61","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/extr",
"EZCH","EZchip Semiconductor Limited","25.64","735521449.76","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ezch",
"FFIV","F5 Networks, Inc.","87.81","6875842716.21","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ffiv",
"FB","Facebook, Inc.","54.22","132043048719.18","n/a","1994","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fb",
"FALC","FalconStor Software, Inc.","1.38","66283797.06","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/falc",
"FNSR","Finisar Corporation","25.73","2465728773.97","n/a","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/fnsr",
"FEYE","FireEye, Inc.","42.37","4977239872.13","n/a","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/feye",
"FSLR","First Solar, Inc.","49.97","4879439228.81","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/fslr",
"FISV","Fiserv, Inc.","104.62","13610058275.72","n/a","1986","Technology","EDP Services","http://www.nasdaq.com/symbol/fisv",
"FLEX","Flextronics International Ltd.","9.205","5634674176.32","n/a","1994","Technology","Electrical Products","http://www.nasdaq.com/symbol/flex",
"FORM","FormFactor, Inc.","6.42","350104537.14","n/a","1993","Technology","Semiconductors","http://www.nasdaq.com/symbol/form",
"FORTY","Formula Systems (1985) Ltd.","25.89","19558419.27","755443","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/forty",
"FTNT","Fortinet, Inc.","20.2","3284247643.4","n/a","2009","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/ftnt",
"GIGM","GigaMedia Limited","1.06","53763174.56","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/gigm",
"GILT","Gilat Satellite Networks Ltd.","4.88","205085635.6","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/gilt",
"GCOM","Globecomm Systems Inc.","14.12","337037424.72","n/a","1997","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/gcom",
"GLUU","Glu Mobile Inc.","3.3","257152041.3","n/a","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/gluu",
"GOOG","Google Inc.","1011.408","336820076259.984","n/a","2004","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/goog",
"GRPN","Groupon, Inc.","10.65","7088057136.15","n/a","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/grpn",
"GSIT","GSI Technology, Inc.","7.31","201317473.1","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/gsit",
"GTAT","GT Advanced Technologies, Inc.","8.63","1067019284.15","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/gtat",
"GUID","Guidance Software, Inc.","9.22","264660100","n/a","2006","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/guid",
"HSOL","Hanwha SolarOne Co., Ltd.","5.355","258637310.82","48298284","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/hsol",
"HLIT","Harmonic Inc.","7.95","803922396.3","n/a","1995","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/hlit",
"HAUP","Hauppauge Digital, Inc.","0.391","3957836.504","n/a","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/haup",
"HSTM","HealthStream, Inc.","39.46","1058276003.76","n/a","2000","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/hstm",
"HSII","Heidrick & Struggles International, Inc.","19.46","352344822.76","n/a","1999","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/hsii",
"HIMX","Himax Technologies, Inc.","10.69","1033995851.56","96725524","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/himx",
"HITT","Hittite Microwave Corporation","66.05","2082194810.2","n/a","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/hitt",
"AWAY","HomeAway, Inc.","28.24","2407626305.36","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/away",
"HSON","Hudson Global, Inc.","3.36","111273220.8","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/hson",
"INVE","Identive Group, Inc.","0.72","52918354.08","n/a","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/inve",
"IGTE","iGATE Corporation","30.82","1785265820.84","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/igte",
"IGOI","iGo, Inc","2.87","8456710.43","n/a","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/igoi",
"IMMR","Immersion Corporation","13.74","392141015.22","n/a","1999","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/immr",
"INFA","Informatica Corporation","37.59","4068628830","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/infa",
"INOD","Innodata Inc.","2.31","57865243.59","n/a","1993","Technology","EDP Services","http://www.nasdaq.com/symbol/inod",
"ISSC","Innovative Solutions and Support, Inc.","7.94","133423934.68","n/a","2000","Technology","EDP Services","http://www.nasdaq.com/symbol/issc",
"IDTI","Integrated Device Technology, Inc.","10.13","1518243707.79","n/a","1984","Technology","Semiconductors","http://www.nasdaq.com/symbol/idti",
"ISSI","Integrated Silicon Solution, Inc.","11.75","340294170.5","n/a","1995","Technology","Semiconductors","http://www.nasdaq.com/symbol/issi",
"INTC","Intel Corporation","23.875","118945250000","n/a","1971","Technology","Semiconductors","http://www.nasdaq.com/symbol/intc",
"ININ","Interactive Intelligence Group, Inc.","61.83","1238844552.66","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/inin",
"IMI","Intermolecular, Inc.","6.12","276757703.64","n/a","1994","Technology","Semiconductors","http://www.nasdaq.com/symbol/imi",
"INAP","Internap Network Services Corporation","6.89","370109468.56","n/a","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/inap",
"IIJI","Internet Initiative Japan, Inc.","14.16","34958066.4","2468790","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/iiji",
"INPH","Interphase Corporation","4.3","30147927.8","n/a","1984","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/inph",
"INTX","Intersections, Inc.","8.81","159442604.72","n/a","2004","Technology","EDP Services","http://www.nasdaq.com/symbol/intx",
"ISIL","Intersil Corporation","11.07","1409238497.88","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/isil",
"IVAC","Intevac, Inc.","4.97","118251895.86","n/a","1985","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ivac",
"INTU","Intuit Inc.","68.74","19433680552.86","n/a","1993","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/intu",
"IPAS","iPass Inc.","1.96","125307796.04","n/a","2003","Technology","EDP Services","http://www.nasdaq.com/symbol/ipas",
"IPGP","IPG Photonics Corporation","62.58","3225235774.32","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/ipgp",
"IXYS","IXYS Corporation","10.95","340533677.7","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ixys",
"JCOM","j2 Global, Inc.","54.55","2524028990.95","n/a","1999","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/jcom",
"JASO","JA Solar Holdings, Co., Ltd.","10.47","300250085.07","28677181","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/jaso",
"JKHY","Jack Henry & Associates, Inc.","54.4","4646964307.2","n/a","1985","Technology","EDP Services","http://www.nasdaq.com/symbol/jkhy",
"JDSU","JDS Uniphase Corporation","15.55","3559809687.4","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/jdsu",
"DATE","Jiayuan.com International Ltd.","7.03","83479042.58","11874686","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/date",
"JIVE","Jive Software, Inc.","12.48","858146377.92","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/jive",
"KELYA","Kelly Services, Inc.","20.66","828793791.56","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelya",
"KELYB","Kelly Services, Inc.","20.1001","69836993.446","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelyb",
"KTEC","Key Technology, Inc.","14.34","88460635.02","n/a","1993","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ktec",
"KTCC","Key Tronic Corporation","11.06","116305422.66","n/a","1983","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/ktcc",
"KFRC","Kforce, Inc.","18","603569754","n/a","1995","Technology","Professional Services","http://www.nasdaq.com/symbol/kfrc",
"KBALB","Kimball International, Inc.","11.41","434492092.58","n/a","1976","Technology","Electrical Products","http://www.nasdaq.com/symbol/kbalb",
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","3.01","2150268.75","714375","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/kone",
"KONG","KongZhong Corporation","10.63","253654962.77","23862179","2004","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/kong",
"KOPN","Kopin Corporation","4.09","273699217.16","n/a","1992","Technology","Semiconductors","http://www.nasdaq.com/symbol/kopn",
"KLIC","Kulicke and Soffa Industries, Inc.","13.02","980113544.76","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/klic",
"KVHI","KVH Industries, Inc.","13.97","217533296.2","n/a","1996","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/kvhi",
"LRCX","Lam Research Corporation","53.85","8728703041.95","n/a","1984","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lrcx",
"LAMR","Lamar Advertising Company","46.99","4440241200.78","n/a","1996","Technology","Advertising","http://www.nasdaq.com/symbol/lamr",
"LTRX","Lantronix, Inc.","1.42","20703264.88","n/a","2000","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ltrx",
"LSCC","Lattice Semiconductor Corporation","4.46","517792829.62","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/lscc",
